age,sexe,filiere,bourse,frais_payes,moyenne_sem1,moyenne_sem2,note_examen,absences,retards,connexions_lms,devoirs_rendus,participation,taux_presence,abandon
18,F,telecom,non,non,6.7,2.0,3.9,15,13,0,0,0,50,Décrochage
20,F,info,non,oui,6.4,4.8,3.1,13,14,27,8,2,33,Inscrit
21,M,info,non,non,9.1,12.5,11.1,7,12,22,4,4,61,Inscrit
22,F,mtic,oui,oui,16.3,17.3,18.1,0,5,40,7,10,70,Diplômé
21,M,mtic,non,oui,13.5,15.1,18.5,2,1,38,9,9,81,Diplômé
20,M,mtic,non,non,5.3,8.3,6.2,11,9,14,3,3,50,Décrochage
20,F,info,non,non,8.6,9.9,7.9,9,9,15,4,6,52,Décrochage
20,M,info,oui,oui,12.2,7.2,11.2,3,3,25,4,7,78,Diplômé
19,F,telecom,non,oui,8.4,9.5,7.9,12,8,22,2,5,52,Décrochage
22,M,info,non,non,11.6,15.9,14.4,4,6,29,7,7,65,Diplômé
21,M,info,oui,oui,14.1,12.2,10.7,6,7,21,5,7,69,Décrochage
23,F,mtic,oui,non,11.5,14.3,12.8,4,8,31,6,8,63,Diplômé
18,M,telecom,non,oui,7.2,5.2,2.8,13,10,4,2,0,57,Décrochage
20,F,telecom,non,non,7.9,2.0,2.7,14,13,3,0,2,25,Décrochage
20,M,info,non,non,7.1,6.5,6.6,13,11,11,1,2,46,Décrochage
21,F,telecom,non,non,8.1,9.3,12.1,11,10,22,4,4,73,Inscrit
20,F,info,non,oui,5.4,10.6,3.9,18,10,9,1,1,40,Décrochage
18,M,telecom,non,oui,10.3,12.4,13.5,11,7,19,4,5,61,Inscrit
23,F,mtic,non,oui,14.7,15.6,11.8,0,3,31,9,10,90,Diplômé
21,F,telecom,non,oui,12.0,17.5,11.2,3,0,32,8,8,79,Diplômé
19,F,info,non,non,11.5,13.0,8.5,15,7,21,6,5,60,Inscrit
24,F,info,oui,non,5.4,9.7,4.5,10,10,15,1,4,70,Inscrit
18,F,telecom,non,non,16.0,16.5,13.1,1,0,32,9,9,84,Diplômé
21,M,info,non,oui,11.1,13.2,9.7,5,8,28,7,4,75,Inscrit
22,F,telecom,oui,non,5.1,9.5,7.9,13,8,9,3,4,71,Décrochage
20,M,info,non,oui,5.8,7.0,9.1,12,6,13,2,5,57,Décrochage
18,M,info,non,non,6.0,5.9,6.7,12,10,10,3,4,43,Décrochage
24,M,mtic,non,non,16.8,11.7,14.8,6,3,33,8,7,71,Diplômé
18,F,telecom,non,oui,15.3,12.1,8.0,6,4,26,5,5,90,Diplômé
19,F,mtic,oui,non,8.4,8.2,8.2,8,10,20,5,3,55,Décrochage
21,F,telecom,non,oui,16.6,13.5,16.2,0,3,32,9,10,86,Diplômé
23,M,mtic,oui,oui,11.7,11.7,7.9,7,7,23,4,6,70,Diplômé
18,M,info,oui,oui,15.9,17.2,18.5,0,3,40,7,10,89,Diplômé
23,M,mtic,non,oui,13.3,7.5,11.1,13,4,29,7,7,81,Diplômé
19,M,mtic,oui,oui,7.7,8.8,7.7,14,8,7,1,3,59,Décrochage
18,F,info,non,oui,4.6,5.6,2.0,16,8,0,0,2,40,Décrochage
21,F,mtic,oui,oui,15.0,17.1,17.7,4,3,34,8,7,84,Diplômé
22,F,telecom,non,oui,12.2,18.5,14.7,4,2,36,8,7,82,Diplômé
20,M,telecom,non,non,12.9,12.3,14.5,8,7,17,6,8,83,Diplômé
21,M,mtic,oui,oui,12.3,11.3,11.9,7,6,13,5,6,71,Inscrit
23,F,info,non,oui,10.3,9.4,7.9,9,5,17,5,5,62,Inscrit
24,F,info,oui,oui,13.9,14.4,12.7,7,3,27,8,9,73,Diplômé
21,F,info,non,oui,16.5,15.6,15.6,5,0,33,10,9,80,Diplômé
24,M,mtic,oui,oui,11.1,9.6,9.1,7,6,21,5,6,69,Inscrit
18,F,mtic,non,non,10.0,10.0,12.7,8,8,24,5,6,70,Diplômé
19,F,mtic,non,non,14.5,13.9,14.8,6,4,29,6,7,92,Diplômé
21,M,info,non,oui,14.6,13.6,10.8,0,6,19,5,8,73,Diplômé
18,F,telecom,non,non,10.3,8.0,5.7,17,7,15,5,7,42,Décrochage
20,F,mtic,non,non,10.0,11.5,12.0,9,6,12,5,3,53,Diplômé
21,M,info,oui,oui,5.7,9.0,6.8,16,10,10,1,3,48,Décrochage
24,F,info,non,non,11.1,11.2,15.2,8,9,29,7,6,69,Diplômé
21,F,mtic,non,non,4.5,5.2,3.5,11,14,11,1,0,30,Décrochage
23,F,info,non,oui,6.1,12.3,3.7,17,11,28,7,4,42,Inscrit
19,M,telecom,non,oui,9.5,6.4,13.4,6,4,33,8,8,64,Diplômé
20,M,telecom,oui,non,8.2,12.2,9.9,8,3,33,6,5,70,Inscrit
23,M,mtic,oui,non,9.0,9.9,11.8,5,4,19,6,5,68,Diplômé
24,M,telecom,oui,oui,11.1,10.4,10.9,8,6,20,8,8,77,Diplômé
18,F,info,non,non,10.5,11.7,14.0,8,5,28,5,5,75,Inscrit
20,F,mtic,oui,oui,9.8,13.2,9.4,10,7,18,6,8,82,Diplômé
23,F,info,oui,non,5.6,12.2,8.3,10,10,13,3,7,47,Décrochage
18,F,mtic,oui,non,12.6,11.3,13.0,8,6,20,5,9,81,Décrochage
19,M,info,oui,oui,5.7,10.1,4.0,11,10,12,2,4,46,Inscrit
18,M,info,oui,oui,6.7,4.9,8.8,15,13,11,2,0,38,Décrochage
21,F,mtic,oui,oui,13.4,14.0,11.8,5,3,31,7,7,86,Diplômé
21,M,info,non,oui,14.1,15.2,17.7,7,4,30,8,9,94,Diplômé
20,F,telecom,non,non,10.7,14.0,13.0,6,5,22,7,10,68,Diplômé
19,F,mtic,oui,oui,12.8,13.5,12.0,3,3,29,7,8,55,Inscrit
19,M,mtic,oui,non,8.6,8.6,7.3,14,5,17,3,4,49,Décrochage
23,M,telecom,non,oui,15.0,14.0,14.5,9,7,23,8,6,65,Diplômé
20,F,mtic,oui,oui,13.4,9.6,12.5,9,7,22,5,3,71,Diplômé
19,M,mtic,non,non,7.3,7.7,8.5,8,8,23,4,2,60,Décrochage
21,F,telecom,oui,oui,10.3,9.8,7.2,15,10,17,2,4,43,Inscrit
18,F,info,non,oui,7.1,7.6,3.4,16,9,3,4,4,35,Décrochage
18,M,info,oui,non,6.0,7.8,10.5,10,10,7,1,2,43,Décrochage
19,M,mtic,oui,non,7.7,11.8,7.8,12,7,18,6,7,50,Inscrit
22,F,info,non,non,9.2,9.7,9.8,10,10,13,5,3,42,Inscrit
18,F,info,oui,oui,12.0,8.5,10.4,12,6,27,5,2,62,Diplômé
18,M,info,non,non,12.5,17.7,12.7,2,0,35,9,8,76,Diplômé
20,M,info,non,oui,12.1,14.2,17.2,3,2,40,9,10,89,Diplômé
18,M,telecom,non,oui,12.0,10.1,11.8,10,7,17,7,4,57,Inscrit
20,M,mtic,oui,oui,13.1,13.7,13.7,9,9,19,5,4,65,Inscrit
24,M,telecom,oui,oui,13.0,13.2,14.0,10,5,30,6,8,83,Diplômé
23,F,telecom,non,oui,13.8,11.9,13.2,6,6,32,8,8,80,Diplômé
19,M,info,non,oui,11.0,16.8,14.0,6,1,29,8,10,67,Diplômé
23,M,mtic,oui,non,12.9,14.5,10.0,1,4,33,7,9,73,Diplômé
23,M,info,oui,oui,10.0,13.0,8.2,11,8,21,4,4,65,Diplômé
18,M,telecom,oui,oui,11.0,14.3,13.1,4,3,32,6,8,74,Diplômé
18,M,info,non,non,15.1,15.8,12.7,3,0,35,9,8,73,Diplômé
19,M,mtic,non,non,8.5,9.4,8.9,6,10,21,3,4,59,Inscrit
19,M,telecom,non,oui,4.8,9.1,8.9,9,8,9,4,5,68,Décrochage
23,F,telecom,non,oui,16.1,17.2,16.7,0,0,37,9,10,95,Diplômé
21,F,mtic,non,oui,5.2,5.1,3.0,19,12,30,8,0,25,Inscrit
23,F,telecom,oui,non,3.2,4.1,8.6,14,12,2,0,1,41,Décrochage
18,F,telecom,oui,oui,2.6,4.1,8.4,16,13,0,0,0,39,Décrochage
20,F,telecom,oui,oui,7.8,6.8,8.0,15,8,12,5,4,50,Décrochage
22,M,telecom,oui,oui,8.6,11.3,11.2,9,7,20,7,5,60,Inscrit
24,F,mtic,non,non,10.2,11.5,11.1,9,8,20,5,6,61,Inscrit
19,F,mtic,non,non,10.1,12.1,12.7,9,1,20,6,8,81,Inscrit
24,F,mtic,non,oui,2.6,6.0,4.8,15,13,14,3,1,45,Décrochage
21,M,mtic,non,oui,6.9,2.3,5.7,15,12,7,2,2,51,Décrochage
19,F,info,oui,oui,17.1,17.9,14.4,2,2,30,9,10,79,Diplômé
20,F,info,non,oui,9.0,5.5,7.6,11,9,34,7,6,58,Inscrit
24,F,telecom,oui,oui,5.4,9.8,5.1,12,6,15,3,4,42,Décrochage
23,F,telecom,non,non,5.7,5.3,4.1,20,13,7,2,1,35,Décrochage
22,M,telecom,oui,oui,7.5,6.5,4.9,15,9,7,2,6,50,Décrochage
21,M,info,non,non,3.8,5.4,5.0,11,11,6,3,1,43,Décrochage
22,M,info,non,oui,11.3,12.0,8.5,8,5,26,6,6,87,Diplômé
19,M,mtic,non,oui,10.9,10.0,9.0,9,9,20,8,6,80,Diplômé
19,M,telecom,oui,oui,13.3,16.4,16.1,9,4,39,8,9,78,Diplômé
24,M,mtic,oui,oui,10.6,11.2,8.0,16,3,20,7,4,75,Inscrit
20,F,telecom,oui,oui,11.4,10.4,10.6,6,5,17,6,7,68,Inscrit
20,M,mtic,oui,oui,9.2,11.1,7.6,8,5,26,6,4,56,Diplômé
23,M,telecom,oui,oui,4.9,4.2,5.4,17,13,2,0,1,24,Décrochage
21,M,info,oui,oui,12.6,17.1,12.8,4,5,28,8,9,80,Diplômé
18,F,mtic,non,non,11.8,11.6,14.2,7,7,28,5,7,80,Décrochage
21,M,mtic,non,oui,9.5,9.1,11.6,7,8,27,7,7,70,Inscrit
18,F,mtic,oui,oui,18.5,11.6,17.1,5,2,28,8,7,79,Diplômé
18,F,info,non,oui,6.9,5.8,11.7,15,9,16,6,2,51,Décrochage
19,M,mtic,non,non,4.0,3.7,3.1,19,13,3,1,3,32,Décrochage
21,M,telecom,non,non,2.0,6.1,2.2,12,14,7,2,2,31,Décrochage
19,F,telecom,non,non,4.1,3.2,7.7,15,13,4,1,0,21,Décrochage
21,F,telecom,non,oui,7.7,6.9,5.1,12,11,31,8,0,44,Inscrit
22,F,info,oui,oui,10.6,12.2,15.4,12,3,32,4,7,74,Diplômé
18,M,info,non,oui,11.5,9.5,8.7,10,6,24,4,6,74,Inscrit
22,F,mtic,non,oui,6.0,8.7,8.9,10,9,7,2,4,48,Diplômé
22,M,telecom,non,oui,13.4,16.4,13.5,6,2,28,8,6,83,Diplômé
20,M,info,oui,non,16.6,18.3,16.5,3,2,34,8,7,80,Inscrit
18,M,info,non,oui,14.7,6.6,10.7,10,5,20,6,6,68,Inscrit
21,F,info,oui,oui,13.2,11.9,14.4,4,7,26,9,10,82,Diplômé
24,M,mtic,oui,non,15.0,14.6,17.3,1,2,38,8,8,75,Diplômé
18,F,mtic,oui,non,16.5,15.6,14.4,3,4,34,8,8,86,Diplômé
18,F,info,non,oui,8.4,10.4,13.8,6,8,21,6,7,70,Inscrit
21,F,info,non,oui,16.6,14.8,16.5,6,2,31,10,8,71,Diplômé
20,M,info,non,oui,8.1,9.4,5.3,16,8,10,3,3,62,Décrochage
20,M,telecom,non,oui,9.8,12.3,10.4,5,5,33,5,7,86,Diplômé
22,M,telecom,non,non,6.2,10.3,6.3,16,11,15,2,5,53,Décrochage
24,M,telecom,non,non,14.1,12.7,14.0,4,9,27,5,8,99,Diplômé
20,F,mtic,oui,oui,2.7,2.0,4.0,15,11,0,0,2,33,Décrochage
19,M,telecom,oui,oui,8.0,11.2,9.0,13,10,28,7,7,75,Inscrit
24,M,info,non,oui,5.9,4.9,10.8,15,10,9,1,2,28,Décrochage
24,M,telecom,oui,oui,6.4,7.5,3.4,11,10,24,4,2,48,Inscrit
21,M,mtic,oui,oui,8.2,11.6,7.7,8,8,20,4,3,67,Inscrit
20,F,telecom,non,oui,13.2,14.6,15.4,2,1,36,10,7,81,Diplômé
24,F,info,non,oui,18.5,18.5,16.6,0,0,33,10,10,94,Diplômé
21,F,mtic,non,oui,9.1,9.4,10.7,9,9,22,3,3,58,Décrochage
23,M,info,oui,oui,15.3,13.9,13.5,5,7,38,10,9,76,Diplômé
19,F,info,non,non,8.4,13.8,9.1,6,4,32,6,8,54,Diplômé
21,M,info,oui,non,14.8,11.1,12.5,3,2,28,9,9,88,Diplômé
18,M,info,non,oui,13.3,12.7,13.8,9,7,16,6,6,60,Diplômé
18,M,mtic,non,oui,13.3,12.5,11.8,4,5,26,6,6,56,Diplômé
21,F,mtic,oui,oui,11.1,8.9,14.0,8,8,12,5,7,65,Diplômé
24,M,info,non,non,4.5,2.0,4.3,16,11,0,0,1,24,Décrochage
24,M,mtic,oui,oui,7.0,6.1,4.0,17,12,15,3,0,36,Décrochage
24,F,info,non,oui,6.4,4.5,5.7,19,7,10,0,4,35,Décrochage
19,F,info,oui,oui,9.7,16.4,10.1,9,5,31,5,6,84,Diplômé
22,M,info,non,non,13.2,13.9,7.4,7,6,28,6,7,82,Inscrit
20,F,mtic,non,oui,17.0,15.3,12.3,4,2,40,10,9,74,Diplômé
20,M,telecom,oui,oui,8.2,8.4,3.5,7,10,12,2,2,46,Décrochage
24,F,mtic,non,oui,4.7,5.7,2.7,15,11,9,4,3,65,Décrochage
22,F,mtic,non,non,6.1,7.9,8.7,8,8,15,2,5,47,Décrochage
18,M,mtic,non,oui,10.7,5.7,7.5,13,10,24,2,4,20,Décrochage
23,F,telecom,non,non,12.8,14.7,17.1,1,2,33,8,10,82,Décrochage
23,M,mtic,oui,non,18.5,15.9,12.4,6,0,35,10,8,76,Diplômé
18,M,telecom,non,oui,13.4,11.0,9.2,9,6,18,6,5,71,Décrochage
19,M,telecom,oui,oui,11.6,8.1,12.2,16,10,11,4,4,61,Inscrit
22,F,info,non,non,8.0,4.9,9.3,12,11,7,2,3,46,Inscrit
21,M,telecom,oui,oui,6.8,6.6,8.1,13,9,13,4,2,43,Inscrit
19,F,mtic,oui,oui,6.2,14.6,15.3,9,5,17,7,4,36,Décrochage
24,F,telecom,oui,oui,16.2,13.2,12.8,7,5,36,9,8,67,Diplômé
19,M,telecom,non,oui,13.4,16.3,12.3,7,4,35,9,8,77,Diplômé
19,M,telecom,non,oui,12.5,13.5,9.2,4,5,40,9,10,72,Diplômé
21,M,mtic,non,oui,8.5,8.9,8.4,9,5,5,4,4,56,Décrochage
24,F,telecom,non,non,12.5,10.7,14.7,6,5,25,6,6,84,Diplômé
24,F,info,oui,oui,8.4,10.3,8.9,12,7,18,4,6,66,Inscrit
20,M,info,non,non,8.5,5.6,2.0,13,9,15,3,4,53,Décrochage
18,M,telecom,oui,oui,6.0,6.6,2.0,15,14,4,3,0,39,Décrochage
20,F,telecom,oui,oui,11.8,12.0,6.8,4,9,34,8,6,70,Diplômé
23,F,info,non,non,6.7,5.1,6.5,9,8,15,4,3,37,Décrochage
22,M,telecom,non,oui,9.5,11.7,10.8,3,4,24,9,7,73,Inscrit
22,F,telecom,oui,oui,10.7,8.9,8.5,4,4,23,7,5,76,Diplômé
24,F,mtic,oui,oui,8.6,11.6,9.5,11,7,17,8,7,73,Inscrit
24,F,telecom,non,non,12.2,14.4,16.3,2,7,28,6,7,89,Diplômé
18,M,info,oui,non,6.6,6.2,6.6,10,10,14,2,3,64,Décrochage
20,M,info,non,oui,11.2,10.4,11.3,10,6,22,6,7,64,Diplômé
21,M,mtic,non,non,7.6,11.5,7.9,15,9,20,6,2,53,Inscrit
18,F,telecom,oui,oui,12.4,10.3,12.5,6,4,23,5,4,64,Inscrit
22,F,telecom,oui,non,11.3,6.1,8.9,10,4,12,5,5,58,Inscrit
21,M,mtic,non,non,12.5,12.0,11.7,6,8,32,8,7,82,Diplômé
19,M,mtic,oui,oui,11.7,13.8,7.3,6,7,27,4,4,68,Diplômé
21,F,info,oui,oui,14.2,10.5,16.5,6,6,27,9,8,62,Diplômé
19,M,mtic,non,non,14.0,16.8,15.2,4,4,40,10,10,86,Diplômé
24,M,mtic,non,oui,10.0,7.1,11.6,16,8,13,2,2,39,Décrochage
20,M,mtic,non,oui,8.8,3.2,6.2,12,12,16,1,5,52,Décrochage
22,F,telecom,non,non,12.5,8.0,7.8,7,6,21,4,5,68,Diplômé
21,F,info,oui,oui,5.1,8.6,7.0,13,8,11,4,5,50,Décrochage
18,M,info,oui,oui,9.9,13.3,8.9,7,6,18,6,7,76,Inscrit
23,M,mtic,oui,non,12.8,12.1,12.7,9,2,28,8,7,91,Diplômé
20,F,info,non,non,8.2,7.0,6.5,13,9,10,4,0,54,Décrochage
24,M,telecom,non,non,14.4,16.7,15.3,5,0,39,8,10,97,Diplômé
22,M,info,oui,oui,9.8,11.7,18.4,7,4,28,9,10,93,Diplômé
23,M,telecom,non,oui,11.6,14.3,10.7,10,7,29,3,6,64,Inscrit
24,F,telecom,oui,oui,9.9,8.3,7.1,10,8,22,6,5,53,Décrochage
23,F,mtic,non,oui,8.5,8.8,6.7,13,8,5,4,2,51,Décrochage
20,M,info,oui,oui,3.4,9.0,10.6,17,10,14,6,4,56,Inscrit
24,F,mtic,non,oui,11.9,13.8,13.9,8,0,28,10,6,81,Diplômé
23,M,telecom,non,oui,7.1,6.7,6.8,16,6,15,4,6,58,Inscrit
19,M,info,non,oui,9.9,7.8,7.8,10,7,11,6,4,62,Inscrit
21,F,telecom,non,oui,12.2,9.5,6.2,7,8,21,6,4,55,Décrochage
18,M,mtic,oui,oui,9.6,12.8,10.4,11,8,26,4,7,59,Diplômé
18,F,info,oui,oui,15.0,16.0,16.0,4,3,37,7,9,74,Diplômé
24,M,telecom,oui,oui,15.7,12.1,10.8,10,8,23,5,4,81,Diplômé
20,M,mtic,oui,oui,7.8,6.8,6.0,13,12,8,0,2,43,Décrochage
24,F,info,non,oui,5.3,7.5,5.3,10,5,15,2,5,50,Inscrit
23,M,telecom,non,non,8.4,11.0,9.4,6,5,22,2,6,76,Inscrit
20,M,mtic,oui,oui,12.5,10.4,18.1,10,7,22,9,6,71,Diplômé
24,M,telecom,oui,oui,13.4,13.3,15.4,6,6,30,8,6,70,Diplômé
19,M,telecom,non,oui,13.4,12.1,13.3,6,5,22,6,4,83,Diplômé
23,F,info,oui,oui,15.5,9.9,15.9,5,0,29,10,7,69,Diplômé
18,F,mtic,non,oui,17.4,14.4,9.6,4,5,27,9,8,74,Inscrit
21,M,telecom,oui,oui,8.3,14.0,11.5,7,5,25,7,8,91,Diplômé
24,F,info,oui,oui,13.6,10.9,14.4,7,5,35,6,8,89,Diplômé
20,M,mtic,non,non,11.4,9.2,10.5,8,1,21,5,6,65,Décrochage
18,M,mtic,non,oui,10.3,8.4,12.8,9,5,22,4,4,63,Inscrit
19,M,telecom,non,non,12.5,14.8,9.6,7,5,21,8,5,56,Décrochage
24,M,telecom,non,non,12.6,15.6,14.0,5,3,33,8,7,90,Décrochage
21,F,telecom,non,non,17.0,18.5,15.5,0,0,40,10,10,99,Diplômé
22,F,mtic,oui,oui,9.1,12.3,10.6,9,8,22,5,7,72,Inscrit
23,M,telecom,non,non,17.0,15.9,15.4,5,3,40,10,8,76,Diplômé
20,M,info,non,non,13.3,13.5,16.2,6,1,35,10,6,70,Diplômé
19,M,info,non,non,8.6,12.2,15.5,6,10,18,5,3,54,Inscrit
19,M,info,non,non,14.5,13.3,14.6,2,7,31,8,10,99,Diplômé
20,F,telecom,non,oui,5.3,6.2,6.0,14,10,18,1,1,41,Décrochage
20,M,mtic,oui,oui,11.2,12.1,11.5,8,11,16,5,4,60,Diplômé
24,F,mtic,non,oui,7.5,6.0,10.7,13,14,13,3,4,54,Inscrit
19,M,info,non,oui,5.2,2.9,3.6,15,12,8,1,1,51,Inscrit
22,F,info,oui,oui,10.8,11.6,12.0,5,5,27,5,5,76,Diplômé
22,M,mtic,non,oui,3.8,5.7,7.6,12,10,19,2,3,43,Décrochage
24,M,telecom,non,non,8.3,5.2,5.2,15,11,10,5,1,64,Inscrit
24,M,mtic,oui,oui,9.2,4.8,6.8,14,12,10,5,3,55,Inscrit
18,F,mtic,oui,oui,14.1,17.7,13.5,0,2,38,10,9,83,Diplômé
19,F,mtic,oui,oui,12.9,15.8,17.6,4,2,30,9,10,80,Diplômé
23,M,mtic,non,non,11.8,9.8,10.2,2,5,24,7,6,77,Diplômé
18,M,mtic,non,oui,13.0,10.8,18.1,11,7,33,7,6,66,Diplômé
24,F,info,non,oui,13.1,13.8,17.9,5,4,37,10,9,76,Diplômé
19,F,telecom,oui,non,10.3,11.3,14.8,6,5,17,6,6,99,Inscrit
22,M,telecom,non,oui,6.5,8.7,7.9,19,11,13,3,3,40,Inscrit
22,F,info,oui,oui,8.7,6.1,2.2,15,9,3,4,4,50,Inscrit
24,F,info,non,oui,6.1,8.8,6.3,6,4,24,3,5,53,Diplômé
21,M,mtic,oui,oui,12.9,11.7,15.3,2,1,28,9,9,92,Diplômé
24,M,mtic,non,non,10.1,11.8,9.0,15,8,24,6,4,47,Décrochage
24,M,mtic,non,non,3.5,2.0,5.5,10,9,9,1,3,26,Décrochage
18,M,info,oui,oui,3.8,5.7,5.4,16,9,12,1,3,42,Décrochage
22,M,info,non,non,11.5,11.6,11.8,4,7,18,6,7,62,Diplômé
21,M,info,non,oui,13.9,14.7,13.9,9,2,24,8,6,77,Inscrit
22,F,info,oui,oui,11.8,11.8,11.0,7,7,26,5,7,80,Diplômé
19,F,mtic,oui,oui,14.2,12.8,9.6,9,2,24,5,7,67,Diplômé
19,M,info,non,oui,7.8,7.1,4.9,14,10,14,3,3,60,Décrochage
20,M,telecom,oui,oui,8.3,9.6,9.6,14,12,13,6,3,59,Inscrit
19,M,telecom,oui,oui,13.7,16.8,13.1,2,1,29,5,9,86,Diplômé
19,F,telecom,oui,oui,18.5,17.8,18.5,2,3,40,9,10,91,Diplômé
18,F,telecom,oui,non,10.0,6.2,7.0,12,11,13,2,3,47,Décrochage
22,F,mtic,oui,oui,10.5,12.4,11.5,12,4,30,6,5,63,Diplômé
19,M,info,non,oui,3.5,3.0,7.8,16,12,4,2,1,50,Décrochage
22,M,telecom,oui,oui,10.6,9.8,11.2,7,9,18,5,6,68,Inscrit
21,F,mtic,non,non,11.1,12.8,12.3,6,9,23,7,7,76,Inscrit
